"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"91","RT @melting_wine: We request you all to stop asking us to save Tony Stark from space.

#AvengersEndgame #Marvel #NASA #jk",FALSE,0,NA,2018-12-10 09:08:07,FALSE,NA,"1072055347488055296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dindaditaM",937,TRUE,FALSE,NA,NA
"92","RT @melting_wine: We request you all to stop asking us to save Tony Stark from space.

#AvengersEndgame #Marvel #NASA #jk",FALSE,0,NA,2018-12-10 09:08:03,FALSE,NA,"1072055331717562368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KittieHill",937,TRUE,FALSE,NA,NA
"93","RT @melting_wine: We request you all to stop asking us to save Tony Stark from space.

#AvengersEndgame #Marvel #NASA #jk",FALSE,0,NA,2018-12-10 09:07:59,FALSE,NA,"1072055314608844800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aimannotpenyu",937,TRUE,FALSE,NA,NA
"94","RT @saii_h: It is not at all funny! 💔 #AvengersEndgame https://t.co/WVEUGY9DzF",FALSE,0,NA,2018-12-10 09:07:52,FALSE,NA,"1072055286209351682",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","roarilang",22,TRUE,FALSE,NA,NA
"95","RT @Marvel: To the greatest fans in the world, thank you for being there from the beginning til the endgame and making Marvel Studios’ #Ave…",FALSE,0,NA,2018-12-10 09:07:52,FALSE,NA,"1072055283889856512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DHFM84266682",3634,TRUE,FALSE,NA,NA
"96","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:07:49,FALSE,NA,"1072055273924087808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dix_kin",2352,TRUE,FALSE,NA,NA
"97","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:07:45,FALSE,NA,"1072055257419653120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IIPurpleLineII",2352,TRUE,FALSE,NA,NA
"98","RT @RenataKonkoly: Tony Stark should not worry for a second, help is on the way. @elonmusk @SpaceX #AvengersEndgame https://t.co/DImN1fzcuN",FALSE,0,NA,2018-12-10 09:07:44,FALSE,NA,"1072055250394206209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otage_de_Aries",1407,TRUE,FALSE,NA,NA
"99","RT @ComicBook: #AvengersEndgame fans are begging @NASA to rescue Tony Stark from space:
https://t.co/BQyZ655Rj2 https://t.co/StkACW6Gqn",FALSE,0,NA,2018-12-10 09:07:43,FALSE,NA,"1072055248951410688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bibahahah",112,TRUE,FALSE,NA,NA
"100","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:07:34,FALSE,NA,"1072055209772359680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AutisticConnors",2352,TRUE,FALSE,NA,NA
